created_at,entry_id,voltage,current,power,energy,frequency,power factor,temp
2/15/2025 8:00,1,190.66,0.03,6.1,0.007,50.39,0.59,29.6
2/15/2025 8:00,2,238.8,0.039,76.6,0.08,49.89,0.69,41.5
2/15/2025 8:01,3,180.46,0.054,10.8,0.012,50.4,0.4,28.8
2/15/2025 8:02,4,181.76,0.078,13.2,0.013,49.56,0.56,30.3
2/15/2025 8:03,5,256.7,0.077,281.7,0.337,50.29,0.98,109.4
2/15/2025 8:03,6,221.78,0.027,90.5,0.091,50.2,0.62,42.8
2/15/2025 8:04,7,207.59,0.033,7.8,0.008,50.25,0.56,29.4
2/15/2025 8:05,8,215.07,0.043,8.3,0.01,49.54,0.66,29.5
2/15/2025 8:06,9,235.33,0.029,88.2,0.097,50.03,0.59,44
2/15/2025 8:06,10,225.71,0.041,71.7,0.058,49.86,0.44,39.3
2/15/2025 8:07,11,183.2,0.061,9.8,0.009,49.59,0.42,29.4
2/15/2025 8:08,12,237.88,0.073,58.8,0.053,49.58,0.63,37
2/15/2025 8:09,13,194.87,0.035,8.1,0.009,50.34,0.57,31
2/15/2025 8:09,14,236.77,0.037,84.5,0.081,50.38,0.69,42.6
2/15/2025 8:10,15,208.32,0.071,16,0.013,50.04,0.41,32
2/15/2025 8:11,16,208.32,0.068,12.3,0.011,49.9,0.47,30.1
2/15/2025 8:12,17,229.52,0.073,67,0.062,49.73,0.65,40.2
2/15/2025 8:12,18,202.62,0.05,10.6,0.012,49.88,0.67,30.1
2/15/2025 8:13,19,235.82,0.074,60.3,0.06,49.93,0.59,39.9
2/15/2025 8:14,20,169.04,0.085,16.8,0.02,49.98,0.43,32.2
2/15/2025 8:15,21,201.28,0.073,17.6,0.018,50.07,0.49,31.7
2/15/2025 8:15,22,198.13,0.024,4.5,0.004,50.04,0.58,29.6
2/15/2025 8:16,23,205.27,0.07,14.6,0.017,49.94,0.59,29.6
2/15/2025 8:17,24,231.09,0.077,64.1,0.066,49.95,0.57,38.2
2/15/2025 8:18,25,234.57,0.047,57,0.061,49.81,0.67,38.5
2/15/2025 8:18,26,213.56,0.023,5.7,0.006,50.49,0.56,30.1
2/15/2025 8:19,27,262.63,0.104,233.9,0.278,50.5,0.71,108.7
2/15/2025 8:20,28,221.36,0.04,55.1,0.055,49.93,0.5,38.1
2/15/2025 8:21,29,174.33,0.148,29.3,0.034,49.86,0.5,33.4
2/15/2025 8:21,30,268.91,0.06,323.4,0.278,49.54,0.94,95.6
2/15/2025 8:22,31,213.31,0.027,6.7,0.007,50.23,0.55,29.9
2/15/2025 8:23,32,192.02,0.053,10.1,0.01,50.17,0.61,28.8
2/15/2025 8:24,33,204.71,0.026,4.9,0.004,50.5,0.62,28.1
2/15/2025 8:24,34,264.39,0.081,289.9,0.254,50.28,0.97,101.6
2/15/2025 8:25,35,200.25,0.043,9.5,0.011,50.13,0.64,29.1
2/15/2025 8:26,36,211.92,0.031,7,0.006,50.29,0.64,29.5
2/15/2025 8:27,37,172.94,0.149,27.6,0.022,49.52,0.5,32.2
2/15/2025 8:27,38,230.69,0.036,61.8,0.072,50,0.6,38.5
2/15/2025 8:28,39,203.15,0.04,8.8,0.009,49.79,0.44,29.6
2/15/2025 8:29,40,217.72,0.075,14.1,0.013,49.69,0.55,30.6
2/15/2025 8:30,41,194.54,0.056,12.6,0.015,50.46,0.63,31.8
2/15/2025 8:30,42,191.85,0.02,4.3,0.005,49.69,0.59,30
2/15/2025 8:31,43,218.81,0.078,16.6,0.016,50.04,0.52,29.8
2/15/2025 8:32,44,225.1,0.065,76.1,0.072,49.52,0.57,40.1
2/15/2025 8:33,45,265.11,0.051,347.5,0.286,50.08,0.9,106.9
2/15/2025 8:33,46,195.63,0.071,13.7,0.011,49.89,0.6,30
2/15/2025 8:34,47,183.4,0.055,11.3,0.011,49.92,0.43,29.5
2/15/2025 8:35,48,169.63,0.112,22.5,0.019,50.1,0.56,32.3
2/15/2025 8:36,49,192.33,0.022,4.7,0.004,49.52,0.48,28.7
2/15/2025 8:36,50,190.36,0.045,8.7,0.009,50.47,0.41,31.3
2/15/2025 8:37,51,227.74,0.046,94,0.109,49.74,0.46,44.1
2/15/2025 8:38,52,199.34,0.059,12.9,0.014,50.06,0.52,32.1
2/15/2025 8:39,53,223.71,0.041,62.9,0.056,50.21,0.56,39.5
2/15/2025 8:39,54,215.92,0.047,10.7,0.01,50.22,0.64,29.6
2/15/2025 8:40,55,219.67,0.062,14.9,0.016,49.89,0.52,30.2
2/15/2025 8:41,56,173.85,0.077,15.9,0.018,50.36,0.67,30.9
2/15/2025 8:42,57,189.48,0.021,4.5,0.004,50.49,0.6,30
2/15/2025 8:42,58,220.43,0.023,58.5,0.063,49.72,0.42,38.2
2/15/2025 8:43,59,174.59,0.089,15.1,0.015,49.78,0.51,32
2/15/2025 8:44,60,161.64,0.096,15.5,0.016,49.87,0.64,29.7
2/15/2025 8:45,61,202.94,0.059,14.2,0.014,50.49,0.49,29.5
2/15/2025 8:45,62,167.9,0.095,14.1,0.014,49.84,0.44,30.2
2/15/2025 8:46,63,198.12,0.063,13.2,0.013,49.74,0.51,31
2/15/2025 8:47,64,192.89,0.027,6,0.006,50.13,0.55,30.6
2/15/2025 8:48,65,208.85,0.075,17.4,0.015,49.68,0.64,32.4
2/15/2025 8:48,66,213.27,0.058,12.4,0.013,49.61,0.69,31.3
2/15/2025 8:49,67,198.98,0.03,5.9,0.006,50.13,0.51,29.8
2/15/2025 8:50,68,181.58,0.047,9.5,0.01,50.15,0.56,31.6
2/15/2025 8:51,69,259.82,0.056,223.3,0.265,50.45,0.75,102.8
2/15/2025 8:51,70,228.94,0.058,88.2,0.097,50.01,0.67,44.4
2/15/2025 8:52,71,216.48,0.08,16.5,0.015,49.68,0.67,32
2/15/2025 8:53,72,179.64,0.128,26.5,0.022,50,0.61,33
2/15/2025 8:54,73,229.07,0.042,58.1,0.053,49.54,0.51,37.8
2/15/2025 8:54,74,219.19,0.046,10.9,0.009,49.68,0.59,30.7
2/15/2025 8:55,75,204.18,0.063,14.1,0.017,49.72,0.57,31.2
2/15/2025 8:56,76,192.07,0.051,9.6,0.01,49.73,0.41,30.3
2/15/2025 8:57,77,190.92,0.039,6.5,0.008,50.08,0.64,29.4
2/15/2025 8:57,78,209,0.054,11.6,0.013,50.07,0.48,29.4
2/15/2025 8:58,79,209.35,0.026,5.3,0.005,50.33,0.42,28.9
2/15/2025 8:59,80,218.91,0.037,9.4,0.009,50,0.69,31.4
2/15/2025 9:00,81,188.43,0.04,6.4,0.005,49.9,0.68,30.7
2/15/2025 9:00,82,213.91,0.02,4,0.003,50.25,0.44,30.3
2/15/2025 9:01,83,193.77,0.029,6.1,0.007,50.22,0.5,29.8
2/15/2025 9:02,84,239.95,0.065,71.2,0.075,49.84,0.41,40
2/15/2025 9:03,85,217.58,0.025,6.3,0.006,49.74,0.49,29.8
2/15/2025 9:03,86,209.48,0.063,12.7,0.014,49.68,0.63,31.1
2/15/2025 9:04,87,208.89,0.06,11,0.013,49.56,0.44,30.6
2/15/2025 9:05,88,184.58,0.075,16.5,0.017,49.98,0.62,30.7
2/15/2025 9:06,89,234.97,0.077,63.1,0.056,49.8,0.53,38.5
2/15/2025 9:06,90,217.24,0.066,15.8,0.018,49.53,0.41,32
2/15/2025 9:07,91,214.69,0.023,4.7,0.005,50.36,0.68,29.3
2/15/2025 9:08,92,229.98,0.052,95.3,0.106,50.41,0.47,44.4
2/15/2025 9:09,93,186.67,0.068,11.5,0.013,50.11,0.46,30.3
2/15/2025 9:09,94,218.03,0.046,11.6,0.012,50.01,0.42,31.7
2/15/2025 9:10,95,170.57,0.134,21.2,0.021,49.74,0.63,32.2
2/15/2025 9:11,96,233.67,0.059,77.5,0.074,50.15,0.67,41.2
2/15/2025 9:12,97,203.31,0.046,8.2,0.008,49.99,0.58,29.5
2/15/2025 9:12,98,232.69,0.077,52.1,0.062,50.21,0.5,36.1
2/15/2025 9:13,99,163.35,0.074,14,0.014,50.2,0.65,31.7
2/15/2025 9:14,100,238.04,0.046,86.2,0.071,50.18,0.61,44.1
2/15/2025 9:15,101,215.09,0.021,4.3,0.004,50.02,0.65,28.3
2/15/2025 9:15,102,192.24,0.027,5.4,0.004,50.09,0.41,28.2
2/15/2025 9:16,103,215.48,0.022,4.9,0.006,50.22,0.44,29.6
